ATELIER;Repère;AFFECTATION;MACHINE;N° COMMANDE;DATE ;FOURNISSEUR  VANNE;NUM POSITIONNEUR;NUM CORPS;NUM ACTIONNNEUR;VANNES TOR;VANNES REG;ORGANE  REGLANT;DATE ACHAT;FREQ. REVISION;VUE EN;A VOIR EN;;;;;;;;;;;;;;;;;;;;;
Cristallisation;LV 01 03 0917;Niveau ballon;Ballon condensats cuites 2ème et 3ème jet;;;MASONEILAN;100;100;100;;REG;CLAPET;;100;2000;2100;;;;;;;;;;;;;;;;;;;;;
Cristallisation;LV 01 03 0917;Niveau ballon condensats cuites 2ème et 3ème jet;Condensats cuites;0;12/31/99;MASONEILAN;101;101;101;0;REG;CLAPET;1994;100;2000;2100;;;;;;;;;;;;;;;;;;;;;
Cristallisation;LV 01 22 0568;Niveau bouteille condensats 1er jet n°1 (cuites 1.2.3);Cuites de 1er jet;1260AR;12/12/12;MASONEILAN;102;102;102; ;REG;OPERCULE;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;LV 01 22 0570;Niveau bouteille condensats 1er jet n°2 (cuites 4.5.6);Cuites de 1er jet;1260AR;12/12/12;MASONEILAN;103;103;103;0;REG;OPERCULE;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 18 03 0838;Petit vide cuite de 1er jet n°1;Cuites de 1er jet;0;12/31/99;AMRI KSB;104;104;104;0;REG;PAPILLON;0;15;2010;2025;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 18 22 0522;Petit vide cuite de 1er jet n°2;Cuites de 1er jet;1259 AR;12/12/12;AMRI KSB;105;105;105;;REG;PAPILLON;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 18 22 0530;Petit vide cuite de 1er jet n°3;Cuites de 1er jet;1259 AR;12/12/12;AMRI KSB;106;106;106; ;REG;PAPILLON;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 18 22 0546;Petit vide cuite de 1er jet n°4;Cuites de 1er jet;1259 AR;12/12/12;AMRI KSB;107;107;107; ;REG;PAPILLON;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 18 22 0554;Petit vide cuite de 1er jet n°5;Cuites de 1er jet;1259 AR;12/12/12;AMRI KSB;108;108;108; ;REG;PAPILLON;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 18 03 0840;Petit vide cuite de 1er jet n°6;Cuites de 1er jet;0;12/31/99;AMRI KSB;109;109;109;0;REG;PAPILLON;1997;15;2010;2025;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Petit vide cuite de 2ème jet n°1;Cuites de 2ème jet;0721 AR;3/27/07;EMERSON;110;110;110;TOR;0;PAPILLON;2007;15;2013;2028;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Petit vide cuite de 2ème jet n°2;Cuites de 2ème jet;0721 AR;3/27/07;EMERSON;111;111;111;TOR;0;PAPILLON;2007;15;2013;2028;;;;;;;;;;;;;;;;;;;;;
Cristallisation; ;Petit vide cuite de 2ème jet n°3;cuites de 2ème jet;030030 AR;5/19/03;AMRI KSB;112;112;112;TOR;;PAPILLON;2003;100;2009;2109;;;;;;;;;;;;;;;;;;;;;
Cristallisation; ;Pression ballon vapeur 3 kg cuites;Cuites;;6/12/05;MASONEILAN;113;113;113;;REG;CLAPET;1990;12;2012;2024;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0650;Pression collecteur casse vide vapeur;Cuites de 1er jet;1807AR;3/5/18;VALMET METSO;114;114;114;0;REG;PAPILLON;2018;15;2018;2033;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 046,5;Purge condensats cuite  de 1er jet n°6;Cuites de 1er jet;1809AR;4/4/18;AMRI KSB;115;115;115;TOR;0;PAPILLON;2018;100;0;2118;;;;;;;;;;;;;;;;;;;;;
