ID VANNE;AFFECTATION;MACHINE;NUM ACTIONNNEUR;ATELIER;NUM CORPS;NUM POSITIONNEUR;FOURNISSEUR  VANNE;Repère;DATE ACHAT;VUE EN;FREQ. REVISION;ORGANE  REGLANT;typeVannes;A VOIR EN;N° COMMANDE
22;Alimentation masse cuite 2ème jet BMA K 3300 n°2;Turbines de 2ème jet;22;2;22;22;3;FV 11 22 0702;2012;2020;5;PAPILLON;REG;2025;NULL
23;Alimentation masse cuite turbine affinage K3300 N°1;Turbines affinage;23;2;23;23;3;LV11220712;2015;2020;5;PAPILLON;REG;2025;15237DT
24;Alimentation masse cuite turbine affinage K3300 N°2;Turbines affinage;24;2;24;24;3;LV11220714;2015;2020;5;PAPILLON;REG;2025;15237DT
25;Alimentation masse cuite turbine de 3ème jet K3300;Turbines de 3ème jet;25;2;25;NULL;NULL;NULL;NULL;2016;100;PELLE;REG;2116;NULL
26;Alimentation rapide BMA K3300 n°2;Turbines de 2ème jet;26;2;26;NULL;2;NULL;2012;2016;10;PAPILLON;TOR;2026;1233AR
27;Alimentation rapide cuite de 1er jet n°3;Cuites de 1er jet;27;2;27;NULL;10;EV 07 22 004.2;2012;2012;100;PAPILLON;TOR;2112;1262AR
28;Alimentation rapide cuite de 1er jet n°4;Cuites de 1er jet;28;2;28;NULL;10;EV 07 22 008.2;2012;2012;100;PAPILLON;TOR;2112;1262AR
29;Alimentation rapide cuite de 1er jet n°5;Cuites de 1er jet;29;2;29;NULL;10;EV 07 22 010.2;2012;2012;100;PAPILLON;TOR;2112;1262AR
30;Alimentation rapide cuite de 1er jet n°6;Cuites de 1er jet;30;2;30;NULL;10;EV 07 22 012.3;2012;2017;100;PAPILLON;TOR;2117;1262AR
31;Alimentation rapide cuite de 2ème jet n°1;Cuites de 2ème jet;31;2;31;NULL;10;EV 07 22 020.2;2017;2018;100;PAPILLON;TOR;2118;1756AR
32;Alimentation rapide cuite de 2ème jet n°2;Cuites de 2ème jet;32;2;32;NULL;10;EV 07 22 022.2;2017;2018;100;PAPILLON;TOR;2118;1756AR
33;Alimentation rapide cuite de 2ème jet n°3;cuites de 2ème jet;33;2;33;NULL;2;EV 07 03 0169;2003;2014;100;PAPILLON;TOR;2114;030030 AR
34;Alimentation rapide cuite de 3ème jet n°1;Cuites de 3ème jet;34;2;34;NULL;10;EV 07 22 026.2;2017;2018;100;PAPILLON;TOR;2118;1756AR
35;Alimentation rapide cuite de 3ème jet n°2;Cuites de 3ème jet;35;2;35;NULL;10;EV 07 22 028.2;2017;2018;100;PAPILLON;TOR;2118;1756AR
36;Alimentation rapide turbine affinage n°1;Turbines affinage;36;2;36;NULL;2;EV11 03 0705;2012;2016;100;PAPILLON;TOR;2116;1233AR
